130000256;Battalgazi Mahallesi Muhtarlığı;ESENYURT;BATTALGAZİ
1185526;Nispetiye Mahallesi Muhtarlığı;BEŞİKTAŞ;NİSBETİYE
1186058;Yukarı Mahallesi Muhtarlığı;KARTAL;YUKARI
1185409;Çınar Mahallesi Muhtarlığı;BAĞCILAR;ÇINAR
1185378;Cevizlik Mahallesi Muhtarlığı;BAKIRKÖY;CEVİZLİK
1184110;Bereketzade Mahallesi Muhtarlığı;BEYOĞLU;BEREKETZADE
1185357;Merkez Mahallesi Muhtarlığı;ŞİŞLİ;MERKEZ
1182892;Fener Mahallesi Muhtarlığı;SİLİVRİ;FENER
1186195;Yenisahra Mahallesi Muhtarlığı;ATAŞEHİR;YENİSAHRA
66130;İzzet Paşa Mahallesi Muhtarlığı;ŞİŞLİ;İZZET PAŞA
1183574;Arapcami Mahallesi Muhtarlığı;BEYOĞLU;ARAP CAMİ
1186522;Gümüşsuyu Mahallesi Muhtarlığı;BEYKOZ;GÜMÜŞSUYU
1185193;Yeşilköy Mahallesi Muhtarlığı;BAKIRKÖY;YEŞİLKÖY
1185069;Kirazlıdere Mahallesi Muhtarlığı;ÇEKMEKÖY;KİRAZLIDERE
1186472;Çengeldere Mahallesi Muhtarlığı;BEYKOZ;ÇENGELDERE
1184108;Karayolları Mahallesi Muhtarlığı;GAZİOSMANPAŞA;KARAYOLLARI
1185761;Turgut Reis Mahallesi Muhtarlığı;ESENLER;TURGUT REİS
159;Hasanlı Mahallesi Muhtarlığı;ŞİLE;HASANLI
164;Atatürk Mahallesi Muhtarlığı;ESENYURT;ATATÜRK
1186417;Tepeören Mahallesi Muhtarlığı;TUZLA;TEPEÖREN
1185485;Tahtakale Mahallesi Muhtarlığı;AVCILAR;TAHTAKALE
1183559;Kalfaköy Mahallesi Muhtarlığı;ÇATALCA;KALFA
1185936;Mithatpaşa Mahallesi Muhtarlığı;EYÜPSULTAN;MİTHATPAŞA
1185869;Mevlana Mahallesi Muhtarlığı;GAZİOSMANPAŞA;MEVLANA
1186241;Merkez Mahallesi Muhtarlığı;GÜNGÖREN;MERKEZ
1186394;Tarabya Mahallesi Muhtarlığı;SARIYER;TARABYA
1185723;Yalı Mahallesi Muhtarlığı;KARTAL;YALI
4300842;Şirintepe Mahallesi Muhtarlığı;KAĞITHANE;ŞİRİNTEPE
4100095;Bulgurlu Mahallesi Muhtarlığı;ÜSKÜDAR;BULGURLU
1186501;Ambarlı Mahallesi Muhtarlığı;AVCILAR;AMBARLI
1759;Mavigöl Mahallesi Muhtarlığı;ARNAVUTKÖY;MAVİGÖL
1186530;Yazlık Mahallesi Muhtarlığı;ÇATALCA;YAZLIK
66126;Bülbül Mahallesi Muhtarlığı;BEYOĞLU;BÜLBÜL
1186146;Kazım Karabekir Mahallesi Muhtarlığı;ÜMRANİYE;KAZIM KARABEKİR
1185276;Mesihpaşa Mahallesi Muhtarlığı;FATİH;KATİP KASIM
1185792;Yeşilkent Mahallesi Muhtarlığı;AVCILAR;YEŞİLKENT
752;Akalan Mahallesi Muhtarlığı;ÇATALCA;AKALAN
1186640;Nişanca Mahallesi Muhtarlığı;EYÜPSULTAN;NİŞANCI
1183741;Ballıca Mahallesi Muhtarlığı;PENDİK;BALLICA
1184727;Ataköy 1.Kısım Mahallesi Muhtarlığı;BAKIRKÖY;ATAKÖY 1. KISIM
1185809;Acıbadem Mahallesi Muhtarlığı;KADIKÖY;ACIBADEM
1185376;Göztepe Mahallesi Muhtarlığı;KADIKÖY;GÖZTEPE
1186036;Çamçesme Mahallesi Muhtarlığı;PENDİK;ÇAMÇEŞME
1183870;Çatalmeşe Mahallesi Muhtarlığı;ÇEKMEKÖY;ÇATALMEŞE
1185882;Yenigün Mahallesi Muhtarlığı;BAĞCILAR;YENİGÜN
1183542;Ahmediye Mahallesi Muhtarlığı;ÜSKÜDAR;AHMEDİYE
1183514;Çelebi Mahallesi Muhtarlığı;ŞİLE;ÇELEBİ
1904;Eski Habipler Mahallesi Muhtarlığı;SULTANGAZİ;ESKİ HABİPLER
1183769;İnceğiz Mahallesi Muhtarlığı;ÇATALCA;İNCEĞİZ
1186048;Balmumcu Mahallesi Muhtarlığı;BEŞİKTAŞ;BALMUMCU
1183428;Şemsipaşa Mahallesi Muhtarlığı;GAZİOSMANPAŞA;ŞEMSİPAŞA
1183534;Yavuz Sinan Mahallesi Muhtarlığı;FATİH;YAVUZ SİNAN
1183490;Duatepe Mahallesi Muhtarlığı;ŞİŞLİ;DUATEPE
1186969;Alacalı Mahallesi Muhtarlığı;ŞİLE;ALACALI
4210080;Atatürk Mahallesi Muhtarlığı;ARNAVUTKÖY;ATATÜRK
1185072;Fulya Mahallesi Muhtarlığı;ŞİŞLİ;FULYA
1186068;Rami Yeni Mahallesi Muhtarlığı;EYÜPSULTAN;RAMİ YENİ
1186059;Uğur Mumcu Mahallesi Muhtarlığı;KARTAL;UĞUR MUMCU
1185405;Yunus Emre Mahallesi Muhtarlığı;SULTANGAZİ;YUNUS EMRE
1186972;Kestanelik Mahallesi Muhtarlığı;ÇATALCA;KESTANELİK
1186399;Yakacık Çarsı Mahallesi Muhtarlığı;KARTAL;YAKACIK ÇARŞI
1183888;Beyazıt Mahallesi Muhtarlığı;FATİH;BEYAZIT
1186133;Süleymaniye Mahallesi Muhtarlığı;FATİH;SÜLEYMANİYE
1186375;İncirköy Mahallesi Muhtarlığı;BEYKOZ;İNCİRKÖY
1186677;Levazım Mahallesi Muhtarlığı;BEŞİKTAŞ;LEVAZIM
1182321;Öğümce Mahallesi Muhtarlığı;BEYKOZ;ÖĞÜMCE
595;Göçbeyli Mahallesi Muhtarlığı;PENDİK;GÖÇBEYLİ
1184537;Alipaşa Mahallesi Muhtarlığı;SİLİVRİ;ALİPAŞA
1185174;Petrol İş Mahallesi Muhtarlığı;KARTAL;PETROL İŞ
118001475;Ormanlı Mahallesi Muhtarlığı;ÇATALCA;ORMANLI
1186281;Yayla Mahallesi Muhtarlığı;TUZLA;YAYLA
1186637;Kamer Hatun Mahallesi Muhtarlığı;BEYOĞLU;KAMER HATUN
1186706;Orhangazi Mahallesi Muhtarlığı;SULTANBEYLİ;ORHANGAZİ
661125;Karlıtepe Mahallesi Muhtarlığı;GAZİOSMANPAŞA;KARLITEPE
1184241;Molla Fenari Mahallesi Muhtarlığı;FATİH;BİNBİRDİREK
130000254;Balıkyolu Mahallesi Muhtarlığı;ESENYURT;BALIKYOLU
1183112;Merkez Mahallesi Muhtarlığı;BEYKOZ;MERKEZ
1185201;Seyitnizam Mahallesi Muhtarlığı;ZEYTİNBURNU;SEYİTNİZAM
1182913;Göçe Mahallesi Muhtarlığı;ŞİLE;GÖÇE
1965;Boğazköy İstiklal Mahallesi Muhtarlığı;ARNAVUTKÖY;BOĞAZKÖY İSTİKLAL
1186653;Ardıçlı Mahallesi Muhtarlığı;ESENYURT;ARDIÇLI
4900271;Bahçeşehir 2. Kısım Mahallesi Muhtarlığı;BAŞAKŞEHİR;BAHÇEŞEHİR 2. KISIM
1185199;Caferağa Mahallesi Muhtarlığı;KADIKÖY;CAFERAĞA
130000298;Balibey Mahallesi Muhtarlığı;ŞİLE;BALİBEY
1185250;Bostancı Mahallesi Muhtarlığı;KADIKÖY;BOSTANCI
1185630;Yenimahalle Mahallesi Muhtarlığı;BAKIRKÖY;YENİMAHALLE
1186917;Ferhatpaşa Mahallesi Muhtarlığı;ATAŞEHİR;FERHATPAŞA
1186039;Yeşilyurt Mahallesi Muhtarlığı;BAKIRKÖY;YEŞİLKÖY
1185923;Mevlana Mahallesi Muhtarlığı;SANCAKTEPE;MEVLANA
1184230;Yazımanayır Mahallesi Muhtarlığı;ŞİLE;YAZIMANAYIR
1185826;Davutpaşa Mahallesi Muhtarlığı;ESENLER;DAVUTPAŞA
1186541;Namık Kemal Mahallesi Muhtarlığı;ESENLER;ÇİFTE HAVUZLAR
1184109;Barbaros Hayrettin Paşa Mahallesi Muhtarlığı;GAZİOSMANPAŞA;BARBAROS HAYRETTİN PAŞA
1186707;Beştelsiz Mahallesi Muhtarlığı;ZEYTİNBURNU;BEŞTELSİZ
645;Fatih Mahallesi Muhtarlığı;BÜYÜKÇEKMECE;FATİH
1186708;Sümer Mahallesi Muhtarlığı;ZEYTİNBURNU;SÜMER
1184753;Mimar Kemalettin Mahallesi Muhtarlığı;FATİH;MİMAR KEMALETTİN
1186038;Arnavutköy Mahallesi Muhtarlığı;BEŞİKTAŞ;ARNAVUTKÖY
66128;Cumhuriyet Mahallesi Muhtarlığı;ŞİŞLİ;CUMHURİYET
1186025;Gayrettepe Mahallesi Muhtarlığı;BEŞİKTAŞ;GAYRETTEPE
1185226;Mehmet Nezih Özmen Mahallesi Muhtarlığı;GÜNGÖREN;MEHMET NESİH ÖZMEN
1183427;Çamlıbahçe Mahallesi Muhtarlığı;BEYKOZ;ÇAMLIBAHÇE
1186683;Esenyalı Mahallesi Muhtarlığı;PENDİK;ESENYALI
1186705;Mevlanakapı Mahallesi Muhtarlığı;FATİH;MEVLANAKAPI
1185858;Bahçelievler Mahallesi Muhtarlığı;BAHÇELİEVLER;BAHÇELİEVLER
1183510;İskenderpaşa Mahallesi Muhtarlığı;FATİH;İSKENDERPAŞA
1185841;Gülensu Mahallesi Muhtarlığı;MALTEPE;GÜLENSU
1186175;Ayvansaray Mahallesi Muhtarlığı;FATİH;AYVANSARAY
4300711;Talatpaşa Mahallesi Muhtarlığı;KAĞITHANE;TALATPAŞA
1184476;Kandilli Mahallesi Muhtarlığı;ÜSKÜDAR;KANDİLLİ
4110250;Fatih Mahallesi Muhtarlığı;ARNAVUTKÖY;FATİH
2436;Taşoluk Mahallesi Muhtarlığı;ARNAVUTKÖY;TAŞOLUK
1183603;Dursunköy Mahallesi Muhtarlığı;ARNAVUTKÖY;DURSUNKÖY
1185219;Aydınevler Mahallesi Muhtarlığı;MALTEPE;AYDINEVLER
1186605;Kirazlıtepe Mahallesi Muhtarlığı;ÜSKÜDAR;KİRAZLITEPE
1186131;Mimar Sinan Mahallesi Muhtarlığı;SULTANBEYLİ;MİMAR SİNAN
4800323;Kavakpinar Mahallesi Muhtarlığı;PENDİK;KAVAKPINAR
1181119;Topağacı Mahallesi Muhtarlığı;ÜMRANİYE;TOPAĞACI
1185917;Fevzi Çakmak Mahallesi Muhtarlığı;KÜÇÜKÇEKMECE;FEVZİ ÇAKMAK
